mode,lhs,desc,first_seen,last_used,use_count,source,tracked
n,D,Show debug information,2026-05-17T20:24:14Z,,0,....local/share/nvim/lazy/lazy.nvim/lua/lazy/view/float.lua:256,y
n,<backspace>p.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:289,y
x,],which-key-trigger,2026-05-17T20:15:51Z,,0,...hare/nvim/lazy/which-key.nvim/lua/which-key/triggers.lua:43,y
n,gr,,2026-05-17T20:22:12Z,,0,/home/kanon/.config/nvim/lua/keybindings/lsp.lua:56,y
n,<leader>tlt,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:178,y
n,<backspace><a-p>p.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:290,y
n,gA,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/ai.lua:21,y
n,<leader>g0G,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:59,y
n,<backspace><a-r>RU,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:207,y
n,<backspace><a-r>p.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:291,y
i,<C-S-[>,[copilot] prev suggestion,2026-05-17T19:59:40Z,,0,...share/nvim/lazy/copilot.lua/lua/copilot/keymaps/init.lua:39,y
n,<backspace>.pr,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:359,y
v,<leader>tla,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:177,y
n,<backspace>c.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:293,y
n,"<leader>t,P",,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:151,y
n,<leader>g0g,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/fugitive.lua:58,y
n,<backspace>.cw,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:367,y
n,<backspace><a-p>c.,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/shortcuts.lua:294,y
n,"<leader>t,r",,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:153,y
n,x,Delete a plugin. WARNING: this will delete the plugin even if it should be installed!,2026-05-17T20:24:14Z,,0,....local/share/nvim/lazy/lazy.nvim/lua/lazy/view/float.lua:256,y
n,ñS,run harpoon tests 1,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/harpoon.lua:103,y
n,<C-c>,Abort,2026-05-17T20:24:14Z,,0,.../.local/share/nvim/lazy/lazy.nvim/lua/lazy/view/init.lua:84,n
n,<leader>tdc,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:155,y
i,<C-r><C-l>,telescope|insert_original_cline,2026-05-17T20:22:20Z,,0,...hare/nvim/lazy/telescope.nvim/lua/telescope/mappings.lua:292,y
n,<leader>tla,,2026-05-17T19:52:48Z,,0,/home/kanon/.config/nvim/lua/keybindings/telescope.lua:176,y
